date,price,close,high,low,open,volume,r,pattern
2025-10-20 14:00:00,111302.25,111351.9375,110781.90625,111194.296875,0,,0.003219665390599147,no-pattern
2025-10-20 15:00:00,111300.4921875,111711.03125,111149.234375,111306.0859375,0,,-0.003472695916650892,no-pattern
2025-10-20 16:00:00,110734.921875,111323.765625,110291.0234375,111298.328125,0,,-0.002171915541479663,no-pattern
2025-10-20 17:00:00,110303.84375,111082.2421875,109972.09375,110752.5546875,8492281856,,-0.001195141421110435,no-pattern
2025-10-20 18:00:00,110949.5625,110949.5625,110269.7109375,110311.2578125,1851559936,,0.0008363197773952891,no-pattern
2025-10-20 19:00:00,110878.4609375,111042.390625,110589.8671875,110971.140625,397176832,,0.0012073539728092442,no-pattern
2025-10-20 20:00:00,111036.640625,111176.5390625,110724.578125,110856.1875,83869696,,0.0006460747462089245,no-pattern
2025-10-20 21:00:00,110566.5234375,111248.390625,110525.765625,111080.078125,0,,-0.0031325448594774485,no-pattern
2025-10-20 22:00:00,110838.828125,110900.4453125,110477.1640625,110583.765625,0,,-0.0004134629745671248,no-pattern
2025-10-20 23:00:00,110605.1875,110854.6015625,110576.71875,110821.15625,642351104,,-0.0024111830346669194,no-pattern
2025-10-21 00:00:00,110516.6796875,110587.6328125,110212.3515625,110587.6328125,0,,-0.0008258316057787596,no-pattern
2025-10-21 01:00:00,109839.125,110496.34375,109694.2734375,110496.34375,0,,-0.005357972338419614,no-pattern
2025-10-21 02:00:00,109525.609375,109905.890625,109422.6875,109899.5859375,1308925952,,-0.0023971066298020816,no-pattern
2025-10-21 03:00:00,109181.9453125,109642.75,109181.9453125,109528.109375,0,,-0.004453882107990026,no-pattern
2025-10-21 04:00:00,107843.015625,109155.5,107735.3671875,109155.5,1943232512,,-0.010740917824239915,no-pattern
2025-10-21 05:00:00,107571.828125,107989.34375,107545.8515625,107934.828125,0,,0.0012726806144325309,no-pattern
2025-10-21 06:00:00,107968.515625,108126.8671875,107564.0703125,107578.0703125,1469198336,,0.0005502003797772659,no-pattern
2025-10-21 07:00:00,108122.0234375,108186.375,107707.328125,107964.515625,0,,-0.0005088002176165674,no-pattern
2025-10-21 08:00:00,107783.546875,108131.34375,107534.75,108131.34375,0,,-0.0023326395953642276,no-pattern
2025-10-21 09:00:00,107769.9609375,107879.40625,107620.71875,107739.703125,0,,0.007929192617378789,no-pattern
2025-10-21 10:00:00,108611.6796875,108738.203125,107626.84375,107790.234375,862990336,,-0.0008856892908077896,no-pattern
2025-10-21 11:00:00,108604.484375,108641.9375,108235.5625,108510.1484375,0,,0.007414180678781079,no-pattern
2025-10-21 12:00:00,108920.34375,109450.421875,108548.3984375,108615.484375,2604568576,,-0.005078308399959042,no-pattern
2025-10-21 13:00:00,108404.0703125,108896.0078125,108292.515625,108886.953125,598487040,,0.028920041057972412,no-pattern
2025-10-21 14:00:00,112040.71875,112091.265625,108458.265625,108458.265625,4554489856,,0.012806762560130025,no-pattern
2025-10-21 15:00:00,113351.0390625,113536.0234375,111872.984375,112161.8359375,8219615232,,0.003541192464036058,no-pattern
2025-10-21 16:00:00,112841.3984375,113938.7890625,112841.3984375,113440.3828125,1693220864,,-0.00846811834989758,no-pattern
2025-10-21 17:00:00,112099.3125,112978.015625,111910.8828125,112793.1484375,7602397184,,-0.006163889476750839,no-pattern
