conf_i,ext_i,ext_p,type
8748,8734,91266.5625,1
8749,8748,90369.875,-1
8764,8759,91026.953125,1
8772,8771,89141.9375,-1
8785,8783,91719.3359375,1
8788,8787,89501.9375,-1
8792,8789,91236.0078125,1
8793,8792,90432.5546875,-1
8819,8816,93257.09375,1
8821,8820,91849.6640625,-1
8860,8856,97747.2734375,1
8862,8861,96698.8359375,-1
8883,8876,98986.3671875,1
8885,8884,97319.5234375,-1
8902,8888,99134.09375,1
8914,8913,97619.2578125,-1
8929,8924,98300.8125,1
8936,8935,95888.9296875,-1
8955,8951,98318.6796875,1
8957,8956,95403.671875,-1
8960,8957,95751.328125,1
8962,8961,94688.2109375,-1
8973,8971,94530.5390625,1
8975,8974,93145.34375,-1
8984,8982,93546.03125,1
8987,8986,91035.0546875,-1
9016,9009,96485.0703125,1
9025,9024,94994.609375,-1
9045,9040,96503.3125,1
9046,9045,95639.109375,-1
9062,9053,97904.6640625,1
9066,9063,96506.7265625,-1
9087,9080,96924.640625,1
9089,9088,95846.953125,-1
9113,9111,97579.8125,1
9122,9120,94986.3046875,-1
9131,9125,96106.1171875,1
9133,9132,95411.2109375,-1
9144,9136,95944.2734375,1
9148,9147,93645.6328125,-1
9170,9166,96769.0625,1
9172,9171,95716.1953125,-1
9197,9194,102821.9453125,1
9205,9204,96772.3359375,-1
9227,9224,101406.2734375,1
9230,9229,99869.9765625,-1
9235,9231,100043.6640625,1
9238,9235,99271.8515625,-1
9262,9249,100174.3515625,1
9264,9263,98953.6484375,-1
9280,9276,100175.8984375,1
9285,9284,99089.265625,-1
9293,9285,98909.15625,1
9299,9298,96220.375,-1
9304,9302,97603.7578125,1
9307,9304,96773.4921875,-1
9317,9312,97513.6484375,1
9318,9317,95701.6171875,-1
9355,9347,101247.515625,1
9358,9357,100514.171875,-1
9368,9365,101539.3046875,1
9370,9369,99504.2890625,-1
9410,9400,102053.3515625,1
9412,9411,101162.1171875,-1
9457,9451,104973.3359375,1
9459,9458,103608.1640625,-1
9466,9463,106919.078125,1
9470,9468,105773.9140625,-1
9491,9478,107158.2265625,1
9500,9499,103549.2734375,-1
9513,9505,104711.75,1
9515,9514,100753.3515625,-1
9532,9528,102182.4296875,1
9539,9538,96265.078125,-1
9550,9540,97424.3984375,1
9554,9553,92572.828125,-1
9578,9572,98496.2265625,1
9579,9578,97115.84375,-1
9594,9583,97273.4921875,1
9595,9594,96064.6484375,-1
9604,9600,96940.8828125,1
9605,9604,95276.359375,-1
9614,9606,95432.3203125,1
9616,9614,94313.3046875,-1
9628,9623,95900.1640625,1
9630,9629,93125.703125,-1
9647,9636,94590.03125,1
9650,9648,93835.2578125,-1
9690,9685,98939.6953125,1
9696,9695,95337.25,-1
9724,9721,96539.625,1
9727,9726,94001.765625,-1
9773,9756,94983.234375,1
9781,9780,93044.1484375,-1
9795,9793,93601.7265625,1
9797,9796,91530.390625,-1
9803,9801,94189.796875,1
9804,9803,91951.1953125,-1
9822,9819,95359.265625,1
9829,9828,93308.2421875,-1
9883,9872,97223.734375,1
9886,9885,96042.515625,-1
9909,9895,98500.7734375,1
9919,9910,97652.171875,-1
9934,9921,98335.3046875,1
9939,9936,97615.5703125,-1
9983,9972,102057.421875,1
9993,9992,96411.046875,-1
10003,9995,96834.7421875,1
10004,10003,95263.8125,-1
10013,10005,95549.515625,1
10015,10014,94027.75,-1
10024,10021,94951.859375,1
10025,10024,93990.734375,-1
10028,10025,94253.984375,1
10030,10029,92974.6015625,-1
10034,10031,93307.984375,1
10035,10034,91900.65625,-1
10038,10036,93851.25,1
10039,10038,92659.328125,-1
10060,10054,94794.5390625,1
10062,10061,93638.6796875,-1
10101,10064,94683.4140625,1
10104,10102,93852.15625,-1
10114,10109,94976.3828125,1
